Description,emotion,movie_name,all_movie_names,movie_name_count,genres,mean_rating,median_rating,minimum_rating,maximum_rating,review_count,unique_review_count,genre_list,genre_count,genres_text,description_word_count,description_character_count,log_review_count,log_unique_review_count
A commitment-averse man frantically hits the dating scene after his girlfriend starts pressuring him to pop the question.,anger,Buying the Cow,Buying the Cow,1,"['Comedy', 'Romance']",4.571428571428571,5.0,3.0,6.0,7,7,"['Comedy', 'Romance']",2,comedy romance,18,121,2.0794415416798357,2.0794415416798357
A foul-mouthed finishing school graduate mistakenly winds up on an ill-fated fishing boat and faces the wrath of a crew that considers him bad luck.,anger,Cabin Boy,Cabin Boy,1,['Comedy'],7.0,7.0,5.0,9.0,2,2,['Comedy'],1,comedy,25,148,1.0986122886681098,1.0986122886681098
A caveman seeks revenge on a much larger competitor for the hand of a beautiful cavewoman.,anger,Caveman,Caveman,1,"['Comedy', 'Adventure']",4.714285714285714,5.0,3.0,6.0,7,7,"['Comedy', 'Adventure']",2,comedy adventure,16,90,2.0794415416798357,2.0794415416798357
A hapless Navy sailor is assigned SP duty. The catch: he must escort a beautiful female prisoner on her way to prison for going UA. She in turn will try anything to escape.,anger,Chasers,Chasers,1,"['Comedy', 'Romance']",4.0,4.0,4.0,4.0,1,1,"['Comedy', 'Romance']",2,comedy romance,33,172,0.6931471805599453,0.6931471805599453
"Three teenagers go on a wild weekend of drink, drugs, shop-lifting and stealing cars that quickly spins beyond their control.",anger,Cherrybomb,Cherrybomb,1,"['Drama', 'Romance', 'Thriller']",5.0,6.0,3.0,6.0,5,5,"['Drama', 'Romance', 'Thriller']",3,drama romance thriller,20,125,1.791759469228055,1.791759469228055
"Pirated DVD seller Zafer who is formerly an extra in movies; swore to give up illegal works when his wife wanted to get divorce. To win his family back, he and his old-fashioned crew ...                See full summary »",anger,Coming Soon,Coming Soon,1,"['Romance', 'Comedy']",6.375,6.0,3.0,9.0,16,8,"['Romance', 'Comedy']",2,romance comedy,39,220,2.833213344056216,2.1972245773362196
"American Steve Kendall, a freighter's radio officer, discovers seaman Carlson sending an unauthorized message ashore as the ship approaches his war-poised homeland. Carlson is shot in cold ...                See full summary »",anger,Conspiracy,Conspiracy,1,"['Drama', 'History']",6.0,6.0,2.0,10.0,30,15,"['Drama', 'History']",2,drama history,32,226,3.4339872044851463,2.772588722239781
"For the last four years Margaret Holt has been helping her brother, assistant D.A. Victor Holt, to try to bring down the dope dealing Schemer Marko gang. Margaret kills Marko (aka 'James ...                See full summary »",anger,Conspiracy,Conspiracy,1,"['Drama', 'History']",6.0,6.0,2.0,10.0,30,15,"['Drama', 'History']",2,drama history,37,224,3.4339872044851463,2.772588722239781
"Three 40-something women in a small English town meet weekly for a ritual of gin, cigarettes, and sweets -- and swap stories arguing which of them has the most pathetic love life. Kate is ...                See full summary »",anger,Crush,Crush,1,"['Romance', 'Comedy', 'Drama']",2.857142857142857,3.0,2.0,4.0,28,7,"['Romance', 'Comedy', 'Drama']",3,romance comedy drama,39,225,3.367295829986474,2.0794415416798357
An anthropologist awakes with a thirst for blood after an assistant stabs him with a cursed dagger.,anger,Da Sweet Blood of Jesus,Da Sweet Blood of Jesus,1,"['Thriller', 'Comedy', 'Romance']",4.7,5.0,2.0,7.0,10,10,"['Thriller', 'Comedy', 'Romance']",3,thriller comedy romance,17,99,2.3978952727983707,2.3978952727983707
"Claire Underwood hires San Francisco private-detective Dennis O'Brien to purchase a saxophone case at an auction, and O'Brien is promptly slugged and the case is stolen by Larry Dunlap. ...                See full summary »",anger,Danger Zone,Danger Zone,1,"['Action', 'Drama']",4.0,4.0,4.0,4.0,2,2,"['Action', 'Drama']",2,action drama,34,223,1.0986122886681098,1.0986122886681098
"Gamblers who ""took"" an out-of-town sucker in a crooked poker game feel shadowy vengeance closing in on them.",anger,Dark City,Dark City,1,"['Mystery', 'Science Fiction']",6.642857142857143,8.0,2.0,9.0,28,14,"['Mystery', 'Science Fiction']",2,mystery science_fiction,18,108,3.367295829986474,2.70805020110221
"Upset about a new Broadway musical's mockery of Greek mythology, the goddess Terpsichore comes down to earth and lands a part in the show. She works her charms on the show's producer and he...                See full summary »",anger,Down to Earth,Down to Earth,1,"['Fantasy', 'Comedy', 'Science Fiction', 'Romance']",5.533333333333333,6.0,3.0,8.0,15,15,"['Fantasy', 'Comedy', 'Science Fiction', 'Romance']",4,fantasy comedy science_fiction romance,38,226,2.772588722239781,2.772588722239781
"A scientist creating perfumes inherits his great grandfather Dr. Jekyll's formula and decides to use modern technology to improve it. He ends up as an ambitious, ruthless woman. She tries to prevent returning into the spineless man.",anger,Dr. Jekyll and Ms. Hyde,Dr. Jekyll and Ms. Hyde,1,['Comedy'],5.583333333333333,6.0,3.0,8.0,12,12,['Comedy'],1,comedy,37,232,2.5649493574615367,2.5649493574615367
"A slacker competes with a repeat winner for the ""Employee of the Month"" title at work, in order to gain the affections of a new female employee.",anger,Employee of the Month,Employee of the Month,1,"['Action', 'Comedy']",6.428571428571429,7.0,2.0,10.0,42,21,"['Action', 'Comedy']",2,action comedy,27,144,3.7612001156935624,3.091042453358316
"When the closure of a railway is announced, employees commandeer a locomotive to get to corporate headquarters and confront the president.",anger,End of the Line,End of the Line,1,"['Horror', 'Thriller']",4.0,4.0,4.0,4.0,4,2,"['Horror', 'Thriller']",2,horror thriller,21,138,1.6094379124341003,1.0986122886681098
David and Jade are high-school sweethearts and happy in love. But when Jades grades starts to drop her father forbid the young couple to see each other. Mad with frustration and desire ...                See full summary »,anger,Endless Love,Endless Love,1,"['Romance', 'Drama']",7.384615384615385,10.0,3.0,10.0,26,13,"['Romance', 'Drama']",2,romance drama,37,222,3.295836866004329,2.6390573296152584
"A man sells his soul to the devil to gain superpowers and avenge his girlfriend's brutal murder. When he realizes that the price is the soul of his new love interest, he turns on the devil.",anger,Faust,Faust,1,"['Animation', 'Drama', 'Fantasy']",6.0,6.0,2.0,9.0,52,13,"['Animation', 'Drama', 'Fantasy']",3,animation drama fantasy,36,189,3.970291913552122,2.6390573296152584
An ex-convict and his bumbling crook brother fight for the same woman.,anger,Feeling Minnesota,Feeling Minnesota,1,"['Action', 'Comedy', 'Drama', 'Thriller']",4.166666666666667,3.5,3.0,6.0,6,6,"['Action', 'Comedy', 'Drama', 'Thriller']",4,action comedy drama thriller,12,70,1.9459101490553132,1.9459101490553132
"While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",anger,Fifty Shades Darker,Fifty Shades Darker,1,"['Drama', 'Romance']",3.6,1.0,1.0,10.0,25,25,"['Drama', 'Romance']",2,drama romance,21,124,3.258096538021482,3.258096538021482
"In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop.",anger,Focus,Focus,1,['Drama'],6.428571428571429,7.0,2.0,10.0,42,21,['Drama'],1,drama,31,155,3.7612001156935624,3.091042453358316
Recent high-school graduates become prey of the vengeful spirit of an innocent girl they wronged long ago.,anger,Forget Me Not,Forget Me Not,1,"['Drama', 'Horror', 'Romance']",5.125,5.5,4.0,6.0,16,8,"['Drama', 'Horror', 'Romance']",3,drama horror romance,17,106,2.833213344056216,2.1972245773362196
"When the brilliant but unorthodox scientist Dr. Victor Frankenstein rejects the artificial man that he has created, the Creature escapes and later swears revenge.",anger,Frankenstein,Frankenstein,1,"['Drama', 'Horror', 'Science Fiction']",4.7,5.0,2.0,7.0,100,20,"['Drama', 'Horror', 'Science Fiction']",3,drama horror science_fiction,24,162,4.61512051684126,3.044522437723423
"Mrs. Dave does not approve of her daughter, Vasundhara's next-door boyfriend, Abhay Narula, and arranges her marriage with Carson Gharodia. In protest, she elopes with Abhay on his ...                See full summary »",anger,Go,Go,1,"['Crime', 'Comedy', 'Thriller']",9.0,9.0,9.0,9.0,1,1,"['Crime', 'Comedy', 'Thriller']",3,crime comedy thriller,33,218,0.6931471805599453,0.6931471805599453
American motion picture classic in which a manipulative woman and a roguish man conduct a turbulent romance during the Civil War and Reconstruction periods.,anger,Gone with the Wind,Gone with the Wind,1,"['Drama', 'Romance', 'War']",7.25,8.5,3.0,9.0,4,4,"['Drama', 'Romance', 'War']",3,drama romance war,24,156,1.6094379124341003,1.6094379124341003
"Released from prison apparently under a New Year amnesty, a criminal tries to pick up the threads of a life changed not only by his daring plan to rob a jewelry store in out-of-season ...                See full summary »",anger,Happy New Year,Happy New Year,1,"['Comedy', 'Crime', 'Romance']",8.7,10.0,3.0,10.0,60,20,"['Comedy', 'Crime', 'Romance']",3,comedy crime romance,39,221,4.110873864173311,3.044522437723423
A basketball player strikes a deal with the mob to fix a basketball game.,anger,Harvard Man,Harvard Man,1,['Drama'],6.916666666666667,7.0,3.0,10.0,12,12,['Drama'],1,drama,14,73,2.5649493574615367,2.5649493574615367
"Released from prison for a crime he didn't commit, an ex-con targets the same bank he was sent away for robbing.",anger,Henry's Crime,Henry's Crime,1,"['Crime', 'Comedy']",5.0,5.0,2.0,9.0,13,13,"['Crime', 'Comedy']",2,crime comedy,21,112,2.6390573296152584,2.6390573296152584
"A not-so-nice man rescues passengers from a crashed airliner, only to see someone else take credit.",anger,Hero,Hero,1,"['Drama', 'Comedy', 'Thriller', 'Mystery']",4.5,3.5,1.0,10.0,60,20,"['Drama', 'Comedy', 'Thriller', 'Mystery']",4,drama comedy thriller mystery,16,99,4.110873864173311,3.044522437723423
Shubhankar Roy (Jeet) was a college goer. He was the son of head constable Bhabani Shankar Roy( Rajjak) who was a very respectable person. Shubhankar was very arrogant and fell foul with ...                See full summary »,anger,Hero,Hero,1,"['Drama', 'Comedy', 'Thriller', 'Mystery']",4.5,3.5,1.0,10.0,60,20,"['Drama', 'Comedy', 'Thriller', 'Mystery']",4,drama comedy thriller mystery,37,224,4.110873864173311,3.044522437723423
"A wealthy divorcée falls for a charming Parisian, but her insanely jealous ex-husband will do anything to get her back.",anger,History Is Made at Night,History Is Made at Night,1,"['Romance', 'Drama']",4.5,4.5,4.0,5.0,2,2,"['Romance', 'Drama']",2,romance drama,20,119,1.0986122886681098,1.0986122886681098
Nazi propaganda film about Polish crimes against germans before WWII.,anger,Homeland,Homeland,1,['Drama'],8.777777777777779,9.0,8.0,9.0,9,9,['Drama'],1,drama,10,69,2.302585092994046,2.302585092994046
"An Engineering student is molested, beaten and humiliated when he goes to reside in a hostel.",anger,Hostel,Hostel,1,['Horror'],7.866666666666666,9.0,3.0,10.0,15,15,['Horror'],1,horror,16,93,2.772588722239781,2.772588722239781
A comedy of errors wherein four men help each other to fool their prospective father-in-laws creating a cascade of confusion and mayhem.,anger,Housefull 2,Housefull 2,1,"['Drama', 'Comedy', 'Romance']",5.875,5.0,4.0,9.0,8,8,"['Drama', 'Comedy', 'Romance']",3,drama comedy romance,22,136,2.1972245773362196,2.1972245773362196
A joint U.S.- Soviet strike force is assembled to wipe out a nuclear base in an outlaw nation that plans to take the world hostage.,anger,Iron Eagle II,Iron Eagle II,1,"['Action', 'Adventure', 'Drama', 'Thriller']",2.9285714285714284,3.0,1.0,7.0,14,14,"['Action', 'Adventure', 'Drama', 'Thriller']",4,action adventure drama thriller,25,131,2.70805020110221,2.70805020110221
"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.",anger,It Happened One Night,It Happened One Night,1,"['Comedy', 'Romance']",5.769230769230769,6.0,2.0,9.0,13,13,"['Comedy', 'Romance']",2,comedy romance,42,212,2.6390573296152584,2.6390573296152584
A group of thirtysomethings having problems with fidelity gets an opportunity to turn back the clock.,anger,Just a Kiss,Just a Kiss,1,"['Comedy', 'Romance']",5.666666666666667,5.5,2.0,9.0,12,12,"['Comedy', 'Romance']",2,comedy romance,16,101,2.5649493574615367,2.5649493574615367
"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",anger,King Kong,King Kong,1,"['Action', 'Adventure', 'Drama', 'Horror']",6.611111111111111,7.0,2.0,10.0,54,18,"['Action', 'Adventure', 'Drama', 'Horror']",4,action adventure drama horror,25,152,4.007333185232471,2.9444389791664403
"Aryan (Kiran) who works for a media house gets upset with his live-in girlfriend (Harshada kulakarni) and asks her to leave immediately for which she refuses. Upset by this, he leaves the ...                See full summary »",anger,Kiss Kiss Bang Bang,Kiss Kiss Bang Bang,1,"['Action', 'Comedy', 'Crime', 'Mystery']",6.545454545454546,7.0,2.0,9.0,11,11,"['Action', 'Comedy', 'Crime', 'Mystery']",4,action comedy crime mystery,37,225,2.4849066497880004,2.4849066497880004
A self-anointed 'renegade' male flight attendant must save the day when the airline he works for tries to eliminate flight attendants as a cost-cutting measure.,anger,Larry Gaye: Renegade Male Flight Attendant,Larry Gaye: Renegade Male Flight Attendant,1,['Comedy'],5.0,5.0,5.0,5.0,1,1,['Comedy'],1,comedy,25,160,0.6931471805599453,0.6931471805599453
"When a young Russian woman and her son leave Moscow to meet her fiancé, who fails to show up, she declares political asylum.",anger,Last Resort,Last Resort,1,"['Drama', 'Foreign', 'Romance']",4.8,4.0,1.0,10.0,40,20,"['Drama', 'Foreign', 'Romance']",3,drama foreign romance,23,124,3.713572066704308,3.044522437723423
"In early-19th-century France, an ex-convict who failed to report to parole is relentlessly pursued over a 20-year period by an obsessive policeman.",anger,Les Misérables,Les Misérables,1,"['Crime', 'Drama', 'History', 'Romance']",8.1,10.0,3.0,10.0,60,10,"['Crime', 'Drama', 'History', 'Romance']",4,crime drama history romance,22,147,4.110873864173311,2.3978952727983707
"Raj works in Toronto and lives with his friend Prem who hates him for invading his tiny apartment. After Raj's application for Canadian residency is rejected, he plots the perfect plan to ...                See full summary »",anger,Life Is Beautiful,Life Is Beautiful,1,"['Comedy', 'Drama']",9.0,9.0,9.0,9.0,5,5,"['Comedy', 'Drama']",2,comedy drama,37,225,1.791759469228055,1.791759469228055
A high school loser pays a cheerleader to pose as his girlfriend so he can be considered cool.,anger,Love Don't Cost a Thing,Love Don't Cost a Thing,1,"['Comedy', 'Drama', 'Family', 'Romance']",6.666666666666667,6.0,4.0,9.0,9,9,"['Comedy', 'Drama', 'Family', 'Romance']",4,comedy drama family romance,18,94,2.302585092994046,2.302585092994046
All hell breaks loose when the Byrnes family meets the Focker family for the first time.,anger,Meet the Fockers,Meet the Fockers,1,"['Comedy', 'Romance']",6.866666666666666,8.0,2.0,10.0,15,15,"['Comedy', 'Romance']",2,comedy romance,16,88,2.772588722239781,2.772588722239781
A petty crook stalks a cute girl into an office building and is taken for a job applicant. Conning gets him the job. It's in the mail room of new credit cards. 2 superiors are worse crooks.,anger,Mo' Money,Mo' Money,1,"['Action', 'Comedy', 'Thriller', 'Crime', 'Romance']",5.0,5.0,4.0,6.0,6,6,"['Action', 'Comedy', 'Thriller', 'Crime', 'Romance']",5,action comedy thriller crime romance,37,189,1.9459101490553132,1.9459101490553132
"Follows a day in the lives of three generations of women. Priscilla, her mother (Nana), and her daughter, Wendy, spend the day sipping gin, arguing and being chased by a police officer. ...                See full summary »",anger,Mothers and Daughters,Mothers and Daughters,1,['Drama'],5.083333333333333,5.5,2.0,7.0,12,12,['Drama'],1,drama,37,223,2.5649493574615367,2.5649493574615367
"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.",anger,My Sassy Girl,My Sassy Girl,1,"['Drama', 'Comedy', 'Romance']",5.8,6.0,2.0,9.0,20,10,"['Drama', 'Comedy', 'Romance']",3,drama comedy romance,38,200,3.044522437723423,2.3978952727983707
"When a regular guy dumps a superhero for her neediness, she uses her powers to make his life a living hell.",anger,My Super Ex-Girlfriend,My Super Ex-Girlfriend,1,"['Fantasy', 'Drama', 'Action', 'Comedy', 'Crime', 'Science Fiction']",8.166666666666666,8.5,4.0,10.0,18,18,"['Fantasy', 'Drama', 'Action', 'Comedy', 'Crime', 'Science Fiction']",6,fantasy drama action comedy crime science_fiction,21,107,2.9444389791664403,2.9444389791664403
"Scientist Sherman Klump's inventions, his upcoming marriage to his pretty colleague Denise Gaines and his reputation are threatened by his evil clone Buddy Love.",anger,Nutty Professor II: The Klumps,Nutty Professor II: The Klumps,1,"['Fantasy', 'Comedy', 'Romance', 'Science Fiction']",2.5454545454545454,1.0,1.0,9.0,22,22,"['Fantasy', 'Comedy', 'Romance', 'Science Fiction']",4,fantasy comedy romance science_fiction,24,161,3.1354942159291497,3.1354942159291497
"A cruel but beautiful heiress mocks and cheats a hired carpenter. When she gets amnesia after an accident, he decides to introduce her to regular life by convincing her that they're husband and wife.",anger,Overboard,Overboard,1,"['Comedy', 'Romance']",7.611111111111111,8.5,2.0,10.0,18,18,"['Comedy', 'Romance']",2,comedy romance,34,199,2.9444389791664403,2.9444389791664403
"A feud develops between two air traffic controllers: one cocky and determined while the other is restrained and laidback, which inevitably affects their lives.",anger,Pushing Tin,Pushing Tin,1,"['Comedy', 'Drama']",5.166666666666667,4.5,2.0,10.0,12,12,"['Comedy', 'Drama']",2,comedy drama,24,159,2.5649493574615367,2.5649493574615367
"In colonial Malaysia, British big game-hunter Otto Abbot and American trapper Harry Stanton clash over the ethics of catching versus killing animals and over Abbot's mistress, Anna.",anger,Rampage,Rampage,1,"['Thriller', 'Drama']",8.904761904761905,10.0,4.0,10.0,63,21,"['Thriller', 'Drama']",2,thriller drama,27,181,4.1588830833596715,3.091042453358316
"Rascha, the wild daughter of Costa, the Gypsy bear tamer, swears revenge on Jorga, her father's enemy, when he cuts off her braids (a sign of disgrace among the Gypsies). Jorga later ...                See full summary »",anger,Revenge,Revenge,1,"['Thriller', 'Drama', 'Romance', 'Crime']",5.0,5.0,2.0,9.0,39,13,"['Thriller', 'Drama', 'Romance', 'Crime']",4,thriller drama romance crime,37,220,3.6888794541139363,2.6390573296152584
A crazed man escapes from prison to kill his wife's lover.,anger,Rio,Rio,1,"['Animation', 'Adventure', 'Comedy', 'Family']",6.894736842105263,8.0,2.0,10.0,38,19,"['Animation', 'Adventure', 'Comedy', 'Family']",4,animation adventure comedy family,11,58,3.6635616461296463,2.995732273553991
"A domineering mother sets out to break up the romance and possible marriage of her daughter, Cecily Stoughton, with Ted Pyncheon by several contrived devices and bringing in other candidates more to her liking.",anger,Risky Business,Risky Business,1,"['Comedy', 'Romance']",7.588235294117647,8.0,4.0,10.0,17,17,"['Comedy', 'Romance']",2,comedy romance,34,210,2.8903717578961645,2.8903717578961645
Robin Hood decides to fight back as an outlaw when faced with the tyranny of the Sheriff of Nottingham.,anger,Robin Hood: Prince of Thieves,Robin Hood: Prince of Thieves,1,['Adventure'],6.333333333333333,7.0,2.0,10.0,15,15,['Adventure'],1,adventure,19,103,2.772588722239781,2.772588722239781
A hot tempered young boy gets into fight wherever he sees injustice around him. His life comes down crashing after he lock horns with a dangerous thug.,anger,Rocky,Rocky,1,['Drama'],5.785714285714286,5.0,2.0,9.0,14,14,['Drama'],1,drama,27,151,2.70805020110221,2.70805020110221
"Rocky is the story of a young man whose life changes in extraordinary circumstances beyond his control. Overnight, this ordinary guy turns into a deliverer of vengeance.",anger,Rocky,Rocky,1,['Drama'],5.785714285714286,5.0,2.0,9.0,14,14,['Drama'],1,drama,27,169,2.70805020110221,2.70805020110221
"Shankar a union leader looses his life in accident at work site while he was fighting with his boss Ratanlal for rights of workers,Ratanlal decides to agree on Shankar's demands after his ...                See full summary »",anger,Rocky,Rocky,1,['Drama'],5.785714285714286,5.0,2.0,9.0,14,14,['Drama'],1,drama,37,225,2.70805020110221,2.70805020110221
"Frustrated by the lack of intimacy in her relationship, a young schoolteacher goes through a series of intimidating and often violent sexual partners.",anger,Romance,Romance,1,"['Romance', 'Drama', 'Comedy']",4.5,4.5,4.0,5.0,6,2,"['Romance', 'Drama', 'Comedy']",3,romance drama comedy,23,150,1.9459101490553132,1.0986122886681098
"Two small-town Texas cops go undercover to catch a major drug dealer and are sucked into the drug culture, compromising their assignment.",anger,Rush,Rush,1,"['Crime', 'Drama']",6.7272727272727275,6.0,4.0,9.0,22,11,"['Crime', 'Drama']",2,crime drama,22,137,3.1354942159291497,2.4849066497880004
"As a young East Los Angeles Latino pursues his dream of becoming a great Salsa dancer, he is enraged to learn that his little sister is romantically involved with his best friend.",anger,Salsa,Salsa,1,"['Drama', 'Music', 'Romance']",5.0,5.0,4.0,6.0,2,2,"['Drama', 'Music', 'Romance']",3,drama music romance,32,179,1.0986122886681098,1.0986122886681098
A guy's life is turned around by an e-mail that includes the names of everyone he's had sex with--and ever will have sex with. His situation gets worse when he encounters a femme fatale (Ryder) who targets men guilty of sex crime.,anger,Sex and Death 101,Sex and Death 101,1,"['Comedy', 'Romance', 'Drama']",4.818181818181818,5.0,3.0,6.0,11,11,"['Comedy', 'Romance', 'Drama']",3,comedy romance drama,42,230,2.4849066497880004,2.4849066497880004
"On the day of her wedding to her sixth husband, a glamorous silver screen sex symbol is asked to intervene in a political dispute between nations, which leads to chaos.",anger,Sextette,Sextette,1,"['Comedy', 'Romance']",4.333333333333333,3.0,2.0,8.0,3,3,"['Comedy', 'Romance']",2,comedy romance,30,168,1.3862943611198906,1.3862943611198906
"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",anger,Shrek,Shrek,1,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",9.222222222222221,10.0,8.0,10.0,9,9,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",5,adventure animation comedy family fantasy,33,158,2.302585092994046,2.302585092994046
